bisonID,basisOfRecord,catalogNumber,collectorNumber,recordedBy,providerID,institutionCode,resourceID,ownerInstitutionCollectionCode,eventDate,year,verbatimEventDate,providedScientificName,scientificName,ITISscientificName,providedCommonName,ITIScommonName,ITIStsn,validAcceptedITIStsn,providedTSN,decimalLatitude,decimalLongitude,geodeticDatum,coordinatePrecision,coordinateUncertaintyInMeters,verbatimElevation,verbatimDepth,centroid,higherGeographyID,computedCountyFips,providedCounty,calculatedCounty,providedState,calculatedState,mrgid,calculated_waterbody,establishmentMeans,countryCode,institutionID,collectionID,relatedResourceID,associatedMedia,associatedReferences,generalComments,license
70317435,specimen,7093,,W. J. Eyerdam,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),1957-07-27T01:00Z,1957,,Lobaria pulmonaria (L.) Hoffm.,Lobaria pulmonaria,Lobaria pulmonaria,,NULL,191262,191262,,46.70666885,-123.9805603,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
70317458,specimen,7304,,W. J. Eyerdam,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),1957-07-27T01:00Z,1957,,Lobaria pulmonaria (L.) Hoffm.,Lobaria pulmonaria,Lobaria pulmonaria,,NULL,191262,191262,,46.70666885,-123.9805603,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
70317956,specimen,9767,,Jerry Price,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),1956-10-11T01:00Z,1956,,Ramalina farinacea (L.) Ach.,Ramalina farinacea,Ramalina farinacea,,NULL,190868,190868,,46.45222092,-123.9674988,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
70319133,specimen,9345,,Grace E. Howard,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),1948-07-07T02:00Z,1948,,Ramalina dilacerata (Hoffm.) Hoffm.,Ramalina dilacerata,Ramalina dilacerata,,NULL,190866,190866,,46.27305984,-123.9441681,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
70319134,specimen,7408,,Grace E. Howard,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),1960-07-07T01:00Z,1960,,Menegazzia terebrata (Hoffm.) A. Massal.,Menegazzia terebrata,Menegazzia terebrata,,NULL,190704,190704,,46.27305984,-123.9441681,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
70319135,specimen,7651,,Grace E. Howard,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),1940-07-10T02:00Z,1940,,Menegazzia terebrata (Hoffm.) A. Massal.,Menegazzia terebrata,Menegazzia terebrata,,NULL,190704,190704,,46.27305984,-123.9441681,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
70321621,observation,2786519,,mbalame99,407,iNaturalist.org,"407,202,485",iNaturalist Research-grade Observations,2016-03-15T08:58Z,2016,3/15/16 7:58,Lobaria pulmonaria (L.) Hoffm.,Lobaria pulmonaria,Lobaria pulmonaria,,NULL,191262,191262,,46.24898911,-123.8615112,,,45,,,,,53049,,Pacific County,,Washington,,,,US,http://www.inaturalist.org,http://www.inaturalist.org/observations,,,,,CC_BY_NC_4_0
70322675,specimen,7648,,Grace E. Howard,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),1940-07-01T02:00Z,1940,,Menegazzia terebrata (Hoffm.) A. Massal.,Menegazzia terebrata,Menegazzia terebrata,,NULL,190704,190704,,46.36555862,-123.8094406,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
70322835,specimen,1882711,,,538,Lund Botanical Museum (LD),"538,201,904",Lund Botanical Museum (LD),1950-08-06T01:00Z,1950,,Usnea rubicunda Stirt.,Usnea rubicunda,Usnea rubicunda,,NULL,190827,190827,,46.66305923,-123.804718,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,,,,US,,http://www4.lu.se/o.o.i.s/8510,,,,,CC_BY_NC_4_0
70331336,specimen,41271,,Grace E. Howard,25,University of Washington Burke Museum,"258,442",Lichen Collection - University of Washington Herbarium (WTU),1956-07-08T01:00Z,1956,,Ochrolechia laevigata (Räsänen) Verseghy,Ochrolechia laevigata,Ochrolechia laevigata,,NULL,191513,191513,,46.67499924,-123.6650009,,,,,,,,53049,Pacific,Pacific County,Washington,Washington,,,,US,http://www.washington.edu/burkemuseum/collections/index.php,http://www.washington.edu/burkemuseum/collections/herbarium/index.php,,,,,CC0_1_0
